id,y_true,y_true_label,score_Promoter,score_Enhancer,score_Non_CRE
Not Cis_05315,0,Promoter,0.7395000457763672,0.23810847103595734,0.022391540929675102
Not Cis_00754,0,Promoter,0.9575430154800415,0.040570031851530075,0.0018869853811338544
Not Cis_00475,0,Promoter,0.9239020943641663,0.0698080062866211,0.006289856508374214
Not Cis_04907,0,Promoter,0.025549402460455894,0.019265925511717796,0.9551846385002136
Not Cis_11371,0,Promoter,0.24320818483829498,0.7372868061065674,0.019505029544234276
Not Cis_02726,0,Promoter,0.9759539365768433,0.02079172059893608,0.0032543770503252745
Not Cis_07270,0,Promoter,0.9102014899253845,0.0846925675868988,0.005105967633426189
Not Cis_01647,0,Promoter,0.047422103583812714,0.9436371922492981,0.008940722793340683
Not Cis_11533,0,Promoter,0.1673983335494995,0.8316563963890076,0.0009452605154365301
Not Cis_10384,0,Promoter,0.9768871665000916,0.020867707207798958,0.002245158888399601
Not Cis_12458,0,Promoter,0.12834729254245758,0.8292348980903625,0.04241781681776047
Not Cis_13679,0,Promoter,0.08792757987976074,0.07948850095272064,0.8325838446617126
Not Cis_07111,0,Promoter,0.9603846073150635,0.03565165400505066,0.0039637708105146885
Not Cis_01481,0,Promoter,0.4467182159423828,0.19462677836418152,0.3586549460887909
Not Cis_12236,0,Promoter,0.5936608910560608,0.26648902893066406,0.13985010981559753
Not Cis_12949,0,Promoter,0.9749075770378113,0.022314300760626793,0.002778133610263467
Not Cis_04709,0,Promoter,0.039076369255781174,0.033760979771614075,0.9271626472473145
Not Cis_11214,0,Promoter,0.6300479769706726,0.24415992200374603,0.12579214572906494
Not Cis_10341,0,Promoter,0.6729803681373596,0.29781678318977356,0.02920292131602764
Not Cis_03847,0,Promoter,0.022769369184970856,0.9689647555351257,0.008265888318419456
Not Cis_01122,0,Promoter,0.9747332334518433,0.022234182804822922,0.003032464999705553
Not Cis_10117,0,Promoter,0.9753881096839905,0.021458420902490616,0.0031535541638731956
Not Cis_00589,0,Promoter,0.9716952443122864,0.026054320856928825,0.0022504476364701986
Not Cis_08865,0,Promoter,0.15738099813461304,0.06835881620645523,0.7742601633071899
Not Cis_07995,0,Promoter,0.9797908663749695,0.017858579754829407,0.002350533613935113
Not Cis_12443,0,Promoter,0.9662265777587891,0.02857917547225952,0.005194308236241341
Not Cis_11776,0,Promoter,0.9700073599815369,0.02716820314526558,0.002824468305334449
Not Cis_10270,0,Promoter,0.03592576086521149,0.02397412247955799,0.9401001930236816
Not Cis_05189,0,Promoter,0.9611278772354126,0.034878458827733994,0.003993644844740629
Not Cis_06227,0,Promoter,0.37906092405319214,0.5966713428497314,0.024267718195915222
Not Cis_08743,0,Promoter,0.035594113171100616,0.028253741562366486,0.9361522197723389
Not Cis_11049,0,Promoter,0.977497398853302,0.019540537148714066,0.002962122904136777
Not Cis_05384,0,Promoter,0.9757845401763916,0.021053636446595192,0.0031618026550859213
Not Cis_01316,0,Promoter,0.3217181861400604,0.5339751839637756,0.14430660009384155
Not Cis_10647,0,Promoter,0.9799342751502991,0.01785966008901596,0.0022060677874833345
Not Cis_06513,0,Promoter,0.5356615781784058,0.43056997656822205,0.033768512308597565
Not Cis_11350,0,Promoter,0.9773935079574585,0.01990598440170288,0.0027004526928067207
Not Cis_10212,0,Promoter,0.9623637199401855,0.03295152634382248,0.004684658255428076
Not Cis_05547,0,Promoter,0.027039945125579834,0.02563072182238102,0.9473293423652649
Not Cis_13750,0,Promoter,0.10042327642440796,0.07002986967563629,0.8295468091964722
Not Cis_07693,0,Promoter,0.9769888520240784,0.020497635006904602,0.002513488056138158
Not Cis_01226,0,Promoter,0.6653047204017639,0.3186589479446411,0.01603635400533676
Not Cis_02530,0,Promoter,0.12095421552658081,0.0719948559999466,0.8070509433746338
Not Cis_10728,0,Promoter,0.9749598503112793,0.022777490317821503,0.0022626968566328287
Not Cis_06718,0,Promoter,0.9734466075897217,0.022570602595806122,0.003982727415859699
Not Cis_02362,0,Promoter,0.9575431942939758,0.03883328288793564,0.0036235637962818146
Not Cis_11837,0,Promoter,0.9782756567001343,0.019561126828193665,0.0021631254348903894
Not Cis_00252,0,Promoter,0.03494541719555855,0.02261732518672943,0.9424372911453247
Not Cis_07487,0,Promoter,0.976776123046875,0.020160768181085587,0.003063126001507044
Not Cis_08618,0,Promoter,0.9784402847290039,0.01947779953479767,0.002081903861835599
Not Cis_01634,0,Promoter,0.9707316756248474,0.027480321004986763,0.0017880318919196725
Not Cis_07214,0,Promoter,0.8975698351860046,0.07142770290374756,0.031002452597022057
Not Cis_01645,0,Promoter,0.11822573840618134,0.880419135093689,0.0013551043812185526
Not Cis_05440,0,Promoter,0.9476297497749329,0.04322081059217453,0.009149518795311451
Not Cis_09670,0,Promoter,0.9808504581451416,0.016903365030884743,0.002246190095320344
Not Cis_08230,0,Promoter,0.9255214333534241,0.06624315679073334,0.008235425688326359
Not Cis_12935,0,Promoter,0.9767748713493347,0.020486030727624893,0.0027391414623707533
Not Cis_00607,0,Promoter,0.6158760786056519,0.3419665992259979,0.042157385498285294
Not Cis_08116,0,Promoter,0.04575199633836746,0.05065644159913063,0.9035914540290833
Not Cis_02493,0,Promoter,0.01859408989548683,0.021691063418984413,0.9597148299217224
Not Cis_10683,0,Promoter,0.9513190984725952,0.041793979704380035,0.006886871065944433
Not Cis_10874,0,Promoter,0.7751538753509521,0.20608213543891907,0.018763983622193336
Not Cis_06326,0,Promoter,0.8160310387611389,0.1764574646949768,0.007511584088206291
Not Cis_06247,0,Promoter,0.9780523180961609,0.019770434126257896,0.0021772594191133976
Not Cis_11555,0,Promoter,0.8773656487464905,0.11577488481998444,0.006859451998025179
Not Cis_13696,0,Promoter,0.9779921174049377,0.019236376509070396,0.0027715086471289396
Not Cis_12202,0,Promoter,0.25664085149765015,0.7187197208404541,0.024639425799250603
Not Cis_05214,0,Promoter,0.9760985970497131,0.02062053047120571,0.0032808822579681873
Not Cis_00716,0,Promoter,0.11803925037384033,0.794926106929779,0.08703462034463882
Not Cis_06731,0,Promoter,0.888649046421051,0.09974417835474014,0.011606781743466854
Not Cis_03827,0,Promoter,0.9775403141975403,0.01980465091764927,0.0026550425682216883
Not Cis_06275,0,Promoter,0.08303738385438919,0.2977719008922577,0.6191907525062561
Not Cis_09369,0,Promoter,0.6724791526794434,0.30233198404312134,0.025188883766531944
Not Cis_03913,0,Promoter,0.18358565866947174,0.8153740167617798,0.0010402761399745941
Not Cis_11428,0,Promoter,0.9742053151130676,0.022237639874219894,0.0035570552572607994
Not Cis_03091,0,Promoter,0.052190396934747696,0.036240506917238235,0.9115691184997559
Not Cis_05273,0,Promoter,0.8994892835617065,0.0946410596370697,0.005869582761079073
Not Cis_07461,0,Promoter,0.09019328653812408,0.9029641151428223,0.006842587608844042
Not Cis_06181,0,Promoter,0.971010684967041,0.025894930586218834,0.003094289219006896
Not Cis_08904,0,Promoter,0.9723098278045654,0.02366257645189762,0.004027543589472771
Not Cis_12499,0,Promoter,0.9625720977783203,0.03440158814191818,0.00302633224055171
Not Cis_09043,0,Promoter,0.36985233426094055,0.6241854429244995,0.005962233524769545
Not Cis_05447,0,Promoter,0.06080920621752739,0.9367084503173828,0.002482327166944742
Not Cis_05655,0,Promoter,0.9783064723014832,0.019499152898788452,0.0021943773608654737
Not Cis_07936,0,Promoter,0.8204917311668396,0.17400027811527252,0.005507942289113998
Not Cis_08825,0,Promoter,0.05067574605345726,0.03804413974285126,0.9112800359725952
Not Cis_07317,0,Promoter,0.9758719801902771,0.02101830765604973,0.00310968398116529
Not Cis_02435,0,Promoter,0.20823581516742706,0.7907580137252808,0.0010061397915706038
Not Cis_08023,0,Promoter,0.9683343768119812,0.02772987261414528,0.0039357272908091545
Not Cis_10813,0,Promoter,0.9801754355430603,0.01825331524014473,0.0015712627209722996
Not Cis_09502,0,Promoter,0.11023715138435364,0.8856263160705566,0.004136498086154461
Not Cis_09617,0,Promoter,0.9764682054519653,0.020564276725053787,0.0029674735851585865
Not Cis_04892,0,Promoter,0.9314238429069519,0.0631711557507515,0.005405065603554249
Not Cis_11896,0,Promoter,0.8200297951698303,0.10967935621738434,0.07029087096452713
Not Cis_04635,0,Promoter,0.9600101709365845,0.03194908797740936,0.008040837943553925
Not Cis_00043,0,Promoter,0.9804785847663879,0.017775485292077065,0.0017459576483815908
Not Cis_04378,0,Promoter,0.9722477197647095,0.023760218173265457,0.003992121201008558
Not Cis_08319,0,Promoter,0.9777444005012512,0.019949445500969887,0.0023061863612383604
Not Cis_05569,0,Promoter,0.4460366666316986,0.4735918939113617,0.08037139475345612
Not Cis_06799,0,Promoter,0.9689614176750183,0.02923285774886608,0.0018057397101074457
Not Cis_12660,0,Promoter,0.12777534127235413,0.8480505347251892,0.024174127727746964
Not Cis_13019,0,Promoter,0.9640347361564636,0.03237665817141533,0.0035885809920728207
Not Cis_01144,0,Promoter,0.9781623482704163,0.018983997404575348,0.002853533485904336
Not Cis_02237,0,Promoter,0.03206649422645569,0.952500581741333,0.015432929620146751
Not Cis_12228,0,Promoter,0.46974319219589233,0.4304563105106354,0.09980056434869766
Not Cis_08328,0,Promoter,0.9745370149612427,0.02214125543832779,0.0033217971213161945
Not Cis_09821,0,Promoter,0.9716364741325378,0.026441043242812157,0.0019224819261580706
Not Cis_03123,0,Promoter,0.12679190933704376,0.8580976128578186,0.015110433101654053
Not Cis_06285,0,Promoter,0.15976576507091522,0.7939040660858154,0.046330101788043976
Not Cis_02370,0,Promoter,0.8857657313346863,0.10829324275255203,0.005941004492342472
Not Cis_09032,0,Promoter,0.6069267988204956,0.3595081865787506,0.03356504440307617
Not Cis_07484,0,Promoter,0.9795373678207397,0.018108580261468887,0.0023540977854281664
Not Cis_03994,0,Promoter,0.2607184052467346,0.34461408853530884,0.39466747641563416
Not Cis_07737,0,Promoter,0.016009187325835228,0.014514407142996788,0.9694764018058777
Not Cis_07906,0,Promoter,0.7575845122337341,0.23240163922309875,0.01001385785639286
Not Cis_06808,0,Promoter,0.15193888545036316,0.8470867872238159,0.0009743108530528843
Not Cis_04480,0,Promoter,0.24990670382976532,0.7484123706817627,0.0016809393418952823
Not Cis_11558,0,Promoter,0.9779953956604004,0.020188501104712486,0.0018160187173634768
Not Cis_08338,0,Promoter,0.9656716585159302,0.029303155839443207,0.0050252508372068405
Not Cis_04782,0,Promoter,0.9585819244384766,0.03833707794547081,0.003080981783568859
Not Cis_11741,0,Promoter,0.1654733419418335,0.7847723960876465,0.04975426197052002
Not Cis_08166,0,Promoter,0.976128339767456,0.021695474162697792,0.0021761285606771708
Not Cis_02523,0,Promoter,0.9420629739761353,0.055207058787345886,0.0027299337089061737
Not Cis_10613,0,Promoter,0.9696146845817566,0.025398259982466698,0.004986954387277365
Not Cis_01925,0,Promoter,0.23385438323020935,0.7128879427909851,0.05325762555003166
Not Cis_07561,0,Promoter,0.8947269320487976,0.09272701293230057,0.01254608016461134
Not Cis_01859,0,Promoter,0.4462285339832306,0.5481778383255005,0.005593637470155954
Not Cis_13729,0,Promoter,0.9746800065040588,0.02186897210776806,0.003450982505455613
Not Cis_01528,0,Promoter,0.13147175312042236,0.8649616837501526,0.003566589206457138
Not Cis_06685,0,Promoter,0.04312017560005188,0.9456807374954224,0.011199049651622772
Not Cis_09049,0,Promoter,0.980419933795929,0.017296042293310165,0.0022841328755021095
Not Cis_00225,0,Promoter,0.9746954441070557,0.022368937730789185,0.0029356202576309443
Not Cis_09025,0,Promoter,0.9727463126182556,0.023986047133803368,0.003267702180892229
Not Cis_05092,0,Promoter,0.8626700639724731,0.11605873703956604,0.02127119153738022
Not Cis_02595,0,Promoter,0.09377418458461761,0.9039714932441711,0.0022542481310665607
Not Cis_11630,0,Promoter,0.9749141931533813,0.021407848224043846,0.0036779367364943027
Not Cis_03921,0,Promoter,0.9733302593231201,0.02260470576584339,0.004065029323101044
Not Cis_09976,0,Promoter,0.9785628914833069,0.019314903765916824,0.002122187986969948
Not Cis_10323,0,Promoter,0.8607208728790283,0.1165454238653183,0.022733651101589203
Not Cis_00473,0,Promoter,0.9460728764533997,0.04636642709374428,0.007560704834759235
Not Cis_01990,0,Promoter,0.9730563759803772,0.02387131191790104,0.0030722850933670998
Not Cis_07942,0,Promoter,0.9764993786811829,0.021010464057326317,0.0024902333971112967
Not Cis_11441,0,Promoter,0.33485403656959534,0.15872745215892792,0.5064184665679932
Not Cis_07179,0,Promoter,0.9804120063781738,0.01732541248202324,0.0022625988349318504
Not Cis_04720,0,Promoter,0.9657427668571472,0.03015381470322609,0.004103459417819977
Not Cis_02147,0,Promoter,0.9740141034126282,0.02434190735220909,0.0016440101899206638
Not Cis_08999,0,Promoter,0.3436581492424011,0.5905645489692688,0.06577736139297485
Not Cis_04376,0,Promoter,0.06216423586010933,0.9067456722259521,0.031090056523680687
Not Cis_13522,0,Promoter,0.1303819715976715,0.8635010719299316,0.006116917356848717
Not Cis_00846,0,Promoter,0.9400930404663086,0.05610058084130287,0.00380643829703331
Not Cis_12452,0,Promoter,0.6260230541229248,0.3346658945083618,0.03931107372045517
Not Cis_07243,0,Promoter,0.9815388321876526,0.016869258135557175,0.0015918468125164509
Not Cis_10247,0,Promoter,0.9477570652961731,0.0486304834485054,0.003612456377595663
Not Cis_08168,0,Promoter,0.9805496335029602,0.017398236319422722,0.002052084542810917
Not Cis_12394,0,Promoter,0.9473705291748047,0.048925772309303284,0.0037036638241261244
Not Cis_10202,0,Promoter,0.9540383219718933,0.041383255273103714,0.0045784167014062405
Not Cis_05928,0,Promoter,0.9805953502655029,0.017496904358267784,0.001907695783302188
Not Cis_08495,0,Promoter,0.9789323210716248,0.019033381715416908,0.0020343023352324963
Not Cis_03074,0,Promoter,0.0758221447467804,0.2437741607427597,0.6804037094116211
Not Cis_00889,0,Promoter,0.9785357117652893,0.018899817019701004,0.0025643943808972836
Not Cis_06771,0,Promoter,0.06790836155414581,0.06191116198897362,0.8701804876327515
Not Cis_07570,0,Promoter,0.9688008427619934,0.02705860510468483,0.0041405451484024525
Not Cis_08890,0,Promoter,0.41845768690109253,0.5234295129776001,0.05811285600066185
Not Cis_10776,0,Promoter,0.9796044826507568,0.018575439229607582,0.0018200773047283292
Not Cis_00019,0,Promoter,0.03116867132484913,0.9572349786758423,0.01159631460905075
Not Cis_08432,0,Promoter,0.21225665509700775,0.7374730110168457,0.050270289182662964
Not Cis_06623,0,Promoter,0.21508388221263885,0.783903956413269,0.0010121301747858524
Not Cis_12658,0,Promoter,0.1094176396727562,0.8524197936058044,0.038162533193826675
Not Cis_01900,0,Promoter,0.44672691822052,0.5020445585250854,0.051228493452072144
Not Cis_05297,0,Promoter,0.9769206047058105,0.02083062194287777,0.0022487682290375233
Not Cis_04136,0,Promoter,0.9722460508346558,0.02379542775452137,0.00395849859341979
Not Cis_05154,0,Promoter,0.563255786895752,0.39878326654434204,0.0379609651863575
Not Cis_01443,0,Promoter,0.9757732152938843,0.02219463512301445,0.0020321502815932035
Not Cis_07452,0,Promoter,0.8628659844398499,0.12372276932001114,0.013411154970526695
Not Cis_00602,0,Promoter,0.6481223106384277,0.3211612105369568,0.030716536566615105
Not Cis_09013,0,Promoter,0.15714409947395325,0.08342645317316055,0.759429395198822
Not Cis_12461,0,Promoter,0.9773387312889099,0.019655754789710045,0.0030054079834371805
Not Cis_06562,0,Promoter,0.6963577270507812,0.2063552439212799,0.09728700667619705
Not Cis_10856,0,Promoter,0.11107064038515091,0.8874843120574951,0.0014451041352003813
Not Cis_04723,0,Promoter,0.9796279668807983,0.018595941364765167,0.0017761419294402003
Not Cis_08118,0,Promoter,0.4128679037094116,0.38216355443000793,0.20496854186058044
Not Cis_11366,0,Promoter,0.977622389793396,0.019986137747764587,0.0023915262427181005
Not Cis_06745,0,Promoter,0.056472860276699066,0.523655891418457,0.4198712110519409
Not Cis_05404,0,Promoter,0.9799330234527588,0.018214354291558266,0.001852656714618206
Not Cis_02635,0,Promoter,0.9364745020866394,0.05421093851327896,0.009314615279436111
Not Cis_01714,0,Promoter,0.03447895869612694,0.032222066074609756,0.9332990050315857
Not Cis_10980,0,Promoter,0.9494421482086182,0.048537254333496094,0.002020609565079212
Not Cis_05261,0,Promoter,0.8756725192070007,0.11954080313444138,0.004786679986864328
Not Cis_05461,0,Promoter,0.9758661389350891,0.020956436172127724,0.0031773594673722982
Not Cis_06691,0,Promoter,0.048791270703077316,0.04023787006735802,0.9109708666801453
Not Cis_05701,0,Promoter,0.8498309850692749,0.13740673661231995,0.01276221964508295
Not Cis_07701,0,Promoter,0.9754288196563721,0.020982317626476288,0.003588835010305047
Not Cis_01495,0,Promoter,0.16939441859722137,0.0816679298877716,0.7489376664161682
Not Cis_12916,0,Promoter,0.9683322310447693,0.029000787064433098,0.0026670079678297043
Not Cis_10401,0,Promoter,0.6740967035293579,0.27256861329078674,0.05333460494875908
Not Cis_07142,0,Promoter,0.9551034569740295,0.04278936609625816,0.0021071734372526407
Not Cis_09591,0,Promoter,0.03841536492109299,0.02618928998708725,0.935395359992981
Not Cis_02974,0,Promoter,0.17119479179382324,0.8278177976608276,0.0009874142706394196
Not Cis_13958,0,Promoter,0.4773235321044922,0.27890828251838684,0.24376818537712097
Not Cis_07246,0,Promoter,0.8233491778373718,0.1546306014060974,0.02202027477324009
Not Cis_10675,0,Promoter,0.9783403277397156,0.019584331661462784,0.002075329190120101
Not Cis_08503,0,Promoter,0.04568055272102356,0.7240622043609619,0.23025722801685333
Not Cis_07709,0,Promoter,0.16873577237129211,0.8294869065284729,0.0017773205181583762
Not Cis_02871,0,Promoter,0.5120548605918884,0.46129360795021057,0.02665148489177227
Not Cis_12391,0,Promoter,0.9780799150466919,0.01894942671060562,0.002970696659758687
Not Cis_12503,0,Promoter,0.8985869884490967,0.08771877735853195,0.013694211840629578
Not Cis_13133,0,Promoter,0.9714722037315369,0.024457519873976707,0.0040703509002923965
Not Cis_09442,0,Promoter,0.9087381362915039,0.07383240759372711,0.017429474741220474
Not Cis_04416,0,Promoter,0.9717957377433777,0.02563948929309845,0.0025647885631769896
Not Cis_11015,0,Promoter,0.42472773790359497,0.5607464909553528,0.014525742270052433
Not Cis_12530,0,Promoter,0.08439876139163971,0.9048381447792053,0.010763085447251797
Not Cis_00340,0,Promoter,0.07705507427453995,0.044581085443496704,0.8783639073371887
Not Cis_09620,0,Promoter,0.9811680316925049,0.017084520310163498,0.0017473928164690733
Not Cis_09425,0,Promoter,0.9730786085128784,0.022540224716067314,0.004381192848086357
